"","log_depth","SST","SBT","SBS","SST_seasonality","SBT_seasonality","SBS_seasonality","mixed_layer","ice_days"
"1662",6.57209735072186,-1.8186734,1.2843343,35.004604,1.19662792041646,0.179223524276714,0.0126528598620755,7.728884,292
"1663",6.25368303171934,2.3494906,2.3774667,35.049088,1.83467857455014,0.350383186998646,0.0132210490057192,15.05562,104
"1664",5.98229362243889,5.3021336,3.2538698,35.057545,0.893240755699043,0.238583046009817,0.00813585516046497,25.039175,0
"1665",5.4876754422081,5.186672,3.8521414,34.558907,0.976724599683766,0.224713199292044,0.0674011494560988,20.347866,14
"1666",6.14010788935363,5.1633463,3.2611082,35.069286,0.995537616359093,0.382546064281918,0.011524664017036,20.420418,20
"1667",6.36573426616335,1.538874,2.4280381,35.053932,1.5142142633573,0.291141765133761,0.0120353933079399,14.927756,122
"1668",5.15527448276612,4.8843575,3.578352,34.94154,0.777622314844122,0.600633015199573,0.0248412944003205,28.840445,71
"1669",5.02357389489397,3.2002203,1.8091872,34.78103,0.715766104385216,1.1137716013182,0.0526737342011387,18.095707,126
"1670",6.92909248311471,-0.90914303,1.0062939,35.0279,1.39335469612883,0.0949574787979909,0.013534819547269,7.3544965,155
"1671",5.02164440417882,0.47441652,2.8810852,34.93546,0.826562877100182,1.01983044421573,0.0243476247186734,8.789299,157
"1672",4.96329788416819,2.6893203,1.3167379,34.741653,1.15614708941545,1.11368628890356,0.0391597814297378,6.047342,194
"1673",5.01963467789306,2.5964396,1.166171,34.797195,1.16775540506614,1.07697652568358,0.0270728707675817,5.8454022,194
"1674",5.16590785866114,2.312125,1.618002,34.855984,1.04275311698934,1.29830359725821,0.0336617693963331,5.834018,185
"1675",5.13478545356746,2.0444267,1.642124,34.858967,0.511371617875242,1.19754292134853,0.0195796685774669,6.4717183,175
"1676",5.13478545356746,2.0444267,1.642124,34.858967,0.511371617875242,1.19754292134853,0.0195796685774669,6.4717183,175
"1677",5.49773245133365,1.5291991,0.27153054,34.659122,0.653604947074241,0.361684554108184,0.0714208053506299,7.1739945,175
"1678",5.00438714835748,-0.071714774,2.9952204,34.96925,0.754356311309766,0.880311810369321,0.0228919012580395,6.555849,153
"1679",6.46733757394024,-1.2729881,2.121403,35.017952,1.43541217305871,0.392501523072111,0.0156462361482457,6.6959476,154
"1680",6.89565279851547,-1.0199115,0.80084485,34.975506,1.04060233000332,0.359210214889194,0.0252037918267517,9.3684225,162
"1681",5.70746103378701,-0.3579164,1.5191699,34.91097,0.869988743621601,1.10196042311795,0.0421965604830036,8.385925,145
"1682",4.86693411644502,1.0659336,2.0995095,34.870003,0.919857175056191,1.04469866609243,0.0223687691227177,7.020723,202
"1683",4.75274949299113,0.7449826,1.4582548,34.832577,1.09391827543768,1.04691933121127,0.0214471205131187,5.904992,250
"1684",6.35479262975493,-1.8234351,1.5660414,34.99165,0.500846409088989,0.659901443212785,0.0266015416326216,5.192138,298
"1685",6.22889893622513,-1.8290173,1.351144,34.975773,0.283397557190427,0.924208313714125,0.0358490705868539,4.440646,309
"1686",5.55165485816673,-1.8300289,1.5430102,34.95975,0.0421978690159249,1.08100616059118,0.0306107122274876,4.1644177,311
"1687",4.99076198830241,-1.5902858,1.6377404,34.92438,0.570633295299768,1.10145490476848,0.0330032839957906,4.013384,291
"1688",4.80733121580464,-1.5271099,0.8491916,34.86278,0.449749838006082,0.910272274905945,0.0235864106980037,4.579876,291
"1689",3.93562495516928,-0.9948727,0.48746392,34.3174,0.521913673074572,0.743985762515364,0.0916933625561981,5.3072786,218
